canonical_name,display_name,type,occurrences,distinct_works,cross_work,page_refs,name_variants,description
abraxas,Abraxas,concept,1,taschen_2003,,page 423,,"description: A gnostic God/deity, shown as a snake-footed hybrid. His name has a numeric value of 365."
adam/the elect,Adam/the elect,concept,1,scot_1584,,page 456,,description: Those who are renewed and made apt by the training up of the holy spirit.
adonay,Adonay,concept,2,kieckhefer_clm849,,68r|p. 336–345,,function: divine name inscribed in circle · role: divine name used in conjurations
adonay dei israel,Adonay dei Israel,concept,1,kieckhefer_clm849,,p. 336–345,,role: divine name used in conjurations
agla,Agla,concept,2,kieckhefer_clm849,,36r fig.|67v–68r,,function: divine name inscribed on knife and circle
akasa (mesmeric fluid),Akasa (mesmeric fluid),concept,1,garnier_1909,,159,,"quote: ""'Akasa,' the mesmeric fluid, and the spirit of God, are one in the East."""
alchimistry,Alchimistry,concept,1,scot_1584,,"page 59, 63",,description: Described as a 'fruitless beggarly art'.
alcumystrie,Alcumystrie,concept,1,scot_1584,,page 353,,"description: The art of alchemy/alchemists, involving words and devices to deceive eyes"
alpha and omega (alpha et o),Alpha and Omega (Alpha et O),concept,1,kieckhefer_clm849,,"[58v, 59r]",,function: divine title used in exorcism
alpha et o,Alpha et O,concept,1,kieckhefer_clm849,,"62v, 64r",,function: divine name used in incantations
amor hereos,amor hereos,concept,2,kieckhefer_clm849,,p. 100,,"role: Latin term for burning, indissoluble love"
angelical wisdom,Angelical Wisdom,concept,1,ars_notoria,,14,,"quote: ""That is the first Figure of the Notory Art... This is Angelical Wisdom, understood of few in Astronomy"""
antichrist,Antichrist,concept,1,kieckhefer_clm849,,83,,role: theologized figure of deceptive miracle-working
ars notoria,ars notoria,concept,2,kieckhefer_clm849,,147–148|Kieckhefer reference,,description: medieval magical tradition for acquiring knowledge via angelic invocation · function: comparative tradition
artem novam,Artem Novam,concept,1,ars_notoria,,40,,description: The name Solomon gives to the Orations
"asperges me, domine","Asperges me, domine",concept,1,kieckhefer_clm849,,experiment no. 41,,role: liturgical antiphon used in treasure ritual
