chunk_id,type,name,description,page_ref,quote
0,person,Giambattista Porta,Author of De Occultis Literarum Notis (1592),Book I Ch 0,JOAN. BAPTISTA PORTA NAPOLITANO AUCTORE.
0,concept,cipher_methods,Various methods of secret writing and concealment devised by ancient and modern scholars,Book I Ch 0,various stratagems for concealing matters not only from spirits but also from other hidden things
0,concept,letters,Letters combined with each other to form signs in ciphers,Book I Ch 0,"when letters are combined with each other, whose signs are noted in the middle of the nut"
0,location,Aufonius,A place where secrets are concealed according to Porta,Book I Ch 0,"an elegant place is found at Aufonius, where some things are concealed"
0,person,Ovid,Ancient writer referenced for his discussion of hidden matters,Book I Ch 0,"those who have further discussed this matter, as Ovid relates"
0,concept,military_affairs,One of the domains where secret writing is applied,Book I Ch 0,"politics, military affairs, and other branches of this same kind of art"
0,concept,spirits,Hidden or spiritual entities from which matters are concealed,Book I Ch 0,concealing matters not only from spirits but also from other hidden things
0,material,books,Texts containing secret writing methods and keys,Book I Ch 0,since the books themselves bear the marks of secret writing
0,concept,key,The cipher key that allows decryption of messages,Book I Ch 0,the author has also handed over the key (or cipher)
1,person,Perfars,Individual involved in cryptographic communication; mentioned as a correspondent who responded to messages.,,Perfars responded as follows
1,historical_example,Timoxenus of Sicily,Person whose case is cited as an example of a cryptographic or coded incident.,,Example almost happened to Timoxenus of Sicily
1,concept,cipher_method,"Use of concealed letters and symbols for secret communication, avoiding detection.",,"letters, not those which were designated, should be intercepted"
1,device,military_notes,Coded marks used in military contexts to convey information securely.,,"militum norinacontinebantur, propriz erant"
1,person,Hermes Artaphernes,Recipient of a cryptographic tablet; associated with secret correspondence.,,dedicate a careful tablet to Hermes Artaphernes
1,location,Sardis,"Location where Histiaeus went, involved in the described events.",,"Histiaeus ... went to Perfars, who were staying among the Sardis"
1,concept,rebellion_examples,Cryptographic or coded references to acts of rebellion used as illustrative examples.,,1. Examples of rebellion.
1,device,letter_interception,"The act of intercepting coded letters, indicating a cryptographic countermeasure.",,the letters ... should be intercepted
2,concept,MALYYS,"A word signifying multiple things: a tree, fruit, and an impious person",p.43,"""MALYYS, a tree, fruit, and him who is impious can signify it."""
2,concept,Apollo's Oracle,Delivered in ambiguous or cryptic language as an example of concealed meaning,p.43,"""of this kind Apollo's Oracle is delivered."""
2,person,Achilles,Referenced in a cryptic phrase about death and transformation,p.43,"""Fifty verbs, from which a hundred arises; Achilles dies."""
2,concept,Sibyllarum vaticinia,"Hidden prophecies associated with the Sibyls, part of secret knowledge",p.43,"""& h Sibyllarum vaticinia complura"""
2,person,Plutarchus,Cited as an authority on moral and educational matters in convivial settings,p.44,"""and Plutarchus in the book de li- quos quafu- beris educandis"""
2,person,Socrates,"Mentioned as admonishing Plato, linked to philosophical instruction and occult knowledge",p.44,"""Socrates étiam apud Pla- ee platonéadmonet"""
2,person,Ptolemy (implied by 'Lirip is Parimvs'),Referenced in a cryptic genealogical or symbolic statement on page 23,p.43,"""Lirip is Parimvs."""
2,material,fire,"Must be kept burning as part of a ritual or symbolic practice, not extinguished",p.44,"""And fire must be kept burning, it is necessary not to extinguish it"""
2,device,vessel,Should not be erased; used in demonstrations involving invisibility and visibility,p.44,"""Do not erase the vessel"""
3,location,Egypt,Geographical region referenced in symbolic context,p.59,thus Egypt
3,concept,phoenix,Symbolic creature representing concealed knowledge and transformation,p.60,they will designate the phoenix as a creature of various kinds
3,concept,scarab beetle,Symbolic animal associated with Egyptian matters and hidden meanings,p.60,such as the scarab beetle and other animals
3,person,Apollonius,Author of a book on Egyptian rites and mysteries,p.60,the book of Apollonius on Egyptian rites and mysteries
3,person,Valerian,Commentator on Apollonius's work regarding Egyptian mysteries,p.60,Valerian's commentary on this same argument has been published
3,person,Tettij,Author of demonological commentaries discussing allegories and parables,p.60,the demonological commentaries of Tettij
3,concept,Minotaur,Allegorical figure used to represent complex symbolic structures and concealment,p.61,to depict the Minotaur
3,device,dolphin,Symbolic creature associated with anchoring and delayed action in cryptographic metaphor,p.61,the firmness of the dolphin's anchor
3,material,anchor,Physical object symbolizing delay and restraint in cryptographic timing,p.61,"by holding back from the adversary with an anchor, delay is intimately stirred up"
3,concept,cicadae,Symbolic reference in kings' scepters related to concealment and birth symbolism,p.59,as in the kings' scepters above the cicadae
4,device,wax tablet,A moscat or wax tablet used to conceal messages with a surface layer of wax.,p.75,"the tablet was made, like a moscat... and wax was applied so that nothing would be revealed unless the message was deciphered."
4,material,iron gall ink,A dark ink used for writing letters that could not be seen by artifice.,p.76-77,"feruuscum [i.e., iron gall ink] is sent from Miletus to Arista-goram"
4,person,Lacedemons (Spartans),Spartan warriors who concealed messages by feigning ignorance.,p.75,"the truth was there, but they feigned ignorance, Gorgo replied."
4,person,Cleomenis,A Spartan king whose daughter wrapped a dagger in wax to send a message.,p.75,"In § Cleomenis... his daughter, and also in book 7 of Leonidas, reminding his wife, wrapped a dagger in wax"
4,person,Herodotus,Historian who records the use of secret writing by Persians.,p.75-76,Herodotus also records the same thing from Demaratus in book 7
4,person,Cicero,Roman philosopher who wrote about digraphs and letter marking with fingers.,p.78,Cicero (as some seem to consider) — who in his book on the Digraphs wrote
4,person,Probus,Grammarian whose commentary is referenced for cryptographic analysis.,p.78,From this method of concealment Probus (from Probus the grammarian’s more curious commentary) is curious about the meaning of hidden letters from C
4,device,Pugillarian,A cipher device mentioned as not yet fully described.,p.75,The Pugillarian (a cipher device) had not yet received its full description
4,person,Xerxes,Persian king whose expedition involved secret messaging.,p.75,"the Persians, when they had accepted Xerxes' expedition with statues"
4,location,Arista-goram,A destination referenced in secret correspondence from Miletus.,p.76-77,feruuscum [is] sent from Miletus to Arista-goram
5,person,Palamedes,Named as a figure associated with cipher methods,Book X Ch Y,Palamedes
5,person,Simonides Melici,Mentioned alongside Palamedes in relation to cipher examples,Book X Ch Y,Simonides Melici
5,concept,Tyrian letter,Referred to as a component in cipher transformation,p.92,if the Tyrian letter
5,cipher_method,letter transposition,Described as a mode of hidden writing where letters are rearranged in order,p.93,That through letter transposition hidden [ciphering] is possible.
5,concept,duplex ratio,A method involving alternating placement of letters in upper and lower lines,p.94,"The duplex ratio of this kind is: the other is, which if one carefully considers..."
5,cipher_method,Batie,Identified as the first mode of ratio in the described cipher system,p.94,The first mode of ratio here is Batie.
5,concept,hidden genera,Main types of ciphers from which many species derive due to varied composition and arrangement,p.93,"These are the main hidden (ciphering) genera, truly from them many species emanate"
5,concept,numerical values,"Used in cipher transformation, such as 'four', 'decem', and 'vigintinum'",p.92,"Palamedes four, decem, posthunc"
5,concept,cipher examples,Provided as practical instances of encoded messages using described methods,p.94,These verses are first submitted to our cipher examples.
8,cipher_method,Alphabet-based cipher,Cipher using letter position and substitution within an alphabet structure,Book X Ch Y or null,"""primum clavis prima litera in quo queratur alphabeto"""
8,device,Tabula (table),A table used to encode and decode messages via letter positioning and pairing,p.156,"""Hec quo magisab ho minum cognitione remota fuerint: tutiorem cryptocautionem przsttabunt"""
8,historical_example,Bella Fortissime Gesta Sunt,Example plaintext phrase used to demonstrate encryption method,p.154,"""BELLA FORTISSIME GESTA SVNT"""
8,person,Apollo,Mythological figure invoked as 'the King' in cryptographic analogy,p.157,"""I will call Apollo the King"""
8,person,Scorpius,Mythological figure referenced as 'the Scorpion' in cryptographic context,p.157,"""Scorpius the Scorpion"""
8,concept,Muses,Nine Muses referenced symbolically in cryptographic illustration,p.158,"""tactfully nine Muses, who hang from hooks"""
8,concept,Cryptic epistle,Encrypted message whose meaning is hidden and requires deciphering through methodical analysis,p.157,"""a cryptic epistle, if anyone finds it, with words understood"""
8,cipher_method,Letter substitution,Technique where letters are replaced by other characters or symbols based on positional rules,p.156,"""the first cipher letter, which is B"""
8,concept,Hidden message extraction,Process of revealing concealed meaning from text using structural and alphabetical clues,p.156,"""the entire hidden cryptogram will be extracted from the open"""
8,concept,"Symbolic associations (e.g., Apollo, Scorpius)",Use of mythological figures to represent abstract or coded concepts in cipher construction,p.157-158,"""I will call Apollo the King, Scorpius the Scorpion"""
9,cipher_method,praetexta,preparatory text used in the cipher process,,bring forth the praetexta
9,concept,divine will,the motivating force behind the secret writing act,,I will hasten to reveal the divine
9,person,friends,individuals for whom the cipher is intended or promised,,moved by the matter concerning friends; I have promised them
9,device,exequatur,ritual authorization used in the process,,I summon the exequatur
9,material,wine,substance used during nighttime ritual,,"summon the exequatur, wine"
10,device,doves,Used as carriers of secret messages during besieges,Book X Ch Y,kept doves for a long time in the vicinity
10,device,javelins,Arrows or bolts used to carry written messages,Book X Ch Y,sent javelins with messages written on them
10,person,Cleonymus,King of the Lacedaemonians associated with bird messaging devices,Book X Ch Y,"a fanatic from Huc belonged to Cleonymus, king of the Lacedaemonians"
10,person,Caesar,Referenced regarding strategic reasoning in military messaging,Book X Ch Y,The ratio of Caesar
10,device,swallows,Domesticated birds considered for carrying liquid messages,Book X Ch Y,"co-members, lumbars... swallows, or other such birds domesticated"
10,material,liquidum,Substance possibly used in message concealment within birds,Book X Ch Y,carry liquid [perhaps 'liquidum' meaning messages]
10,device,fagitta,Latin term for arrow or javelin used to carry epistle,Book X Ch Y,tied an epistle to a javelin (or 'fagitta')
10,person,Ptolemy,Referenced in context of obstructing matters with doves,Book X Ch Y,since you have obstructed this matter with the dove
11,cipher_method,cipher_method,Permutation of characters by occultation (z.caps.6) as a method for revealing hidden messages,Book X Ch Y or null,Semple os
11,material,material,"Letters used in ciphers, divided and numbered (up to 25 total)",p.213,"there are not more than twenty-one, or rather two and twenty-five in total"
11,concept,concept,Hidden messages in letters revealed through frequency analysis and positional clues,p.213,"Sermo enim in epistola contentus aliquando frequentissimas ratissimas, & rariissimas frequentissimas faciet"
11,device,device,"Use of directional methods (right hand) and positional markers (end, middle, fertile line)",p.213,"in whatever way, or in any order, or by any method of the right hand, or in the end, or in the middle"
11,person,person,Lipper Tertius (author referenced),p.215,"Liper TERTIVS, 195"
11,location,location,Scripta Prætoria (context for letter division method),p.215,the division of this kind in the Scripta Prætoria is « 4
11,historical_example,historical_example,Not explicitly stated; references to general cipher use without specific historical case,,
12,cipher_method,geminate letters,Letters repeated to obscure distinction,p.230,"preferring geminate letters, which must be placed by indication"
12,concept,consonants,Can be produced through repetition or conjunction at word ends and middles,p.231,they can be produced in two ways: through repetition and through a greater conjunction
12,concept,vowels,Must be confirmed by rules before assignment; separated from consonants,p.231,do not assign vowels unless all the rules concerning them have been confirmed
12,cipher_method,scripta verbum,A method involving scripta (letters) and word meaning to discern knowledge,p.231,from that same matter or something else (scripti verbum po[sit] intelligi)
12,concept,war,Context in which epistle origin can be inferred for cipher decoding,p.231,one can infer from war about which epistle or during the time of war
12,location,De Occvrr. Lit. Nor.,Recipient or reference point in address; possibly a cipher key or title,"p.230, p.231",to De Occvrr. Lit. Nor.
12,concept,DiGiones,Tables referenced for letter presence and arrangement,p.233,as in the tables of DiGiones one sees all the letters to be present
12,concept,X,Rare letter considered for addition in cipher analysis,p.233,"either H, or Q, or X, or Z... so that from three places in DiGionibus it becomes"
12,concept,potency variation,Individual letters vary in power; repetition affects visibility,p.232,the powers of individual letters can differ... its repetition will be observed
13,person,TERTIVS,Named individual referenced in cipher context,p.247,fives TERTIVS.
13,concept,diGionibus,Zodiac signs used as symbolic or coded references in cryptographic analysis,p.250,many... will observe together with the diGionibus
13,concept,Regula,A guiding rule for resolving ambiguity in cryptographic interpretation,"p.250, p.251",let the Regula be followed
13,concept,"A, B, Q; PF, DC",Cipher characters or letter pairs used in cryptographic examples,p.250,"and A, B, Q; PF, DC, & hui modi reliquz"
13,cipher_method,AGAAACNNXAMGAASYNAG,Example of a coded string or anagram-based cipher text,p.250,It is written thus. AGAAACNNXAMGAASYNAG
13,concept,micro-filtration,Perceived method of hidden communication or detection,p.248,more certain an argument from micro-filtration being perceived
13,concept,liquid,Symbolic term associated with 'two are numbered as twenty' in cryptographic logic,p.248,"From these it is seen that two are numbered as twenty, liquid appears"
13,concept,Y and Z,Rarely occurring letters used in cryptographic conjunctions,p.248,of two letters Y and Z very rarely occurs
13,person,Ocevir,Attributed author or source of the cited passage,p.249,From Ocevir. Lir. Nor.
15,concept,tabular_structure,Tables used to organize letters and figures for cryptographic encoding,Book X Ch Y or null,In the cni* table two bina-rum diGjonum tables are proposed
15,concept,consonant_vowel_similarity,Grouping of similar consonants and vowels for cipher construction,Book X Ch Y or null,Consonants and similar vowels. ~_ bibi momo toro coco.
